Train Set Index,Label,AUM
20583,Beaver,-5.0983715
42419,Aquarium Fish,-5.0937215
31182,Bee,-5.085495
48760,Motorcycle,-5.0843332
33465,Caterpillar,-5.08368445
11000,Possum,-5.083445299999999
14400,Cockroach,-5.061816799999999
42730,Hamster,-5.048929449999999
48763,Dinosaur,-5.04725675
44960,Forest,-5.04657665
780,House,-5.0433793
11044,Seal,-5.0374184
49707,Baby,-5.0279238
20286,Cattle,-5.023388499999999
35922,Bottle,-5.0064680500000005
42157,Spider,-5.006318
19770,Mushroom,-4.9957402
3585,Bear,-4.9831007
33021,Trout,-4.9498856
34533,Leopard,-4.9455235
37981,Porcupine,-4.9433665
28428,Man,-4.9389855
27258,Tiger,-4.9341209
33794,Leopard,-4.9301905
37186,Spider,-4.921945
32927,Orchid,-4.9163288
6000,Leopard,-4.9084935000000005
22282,Fox,-4.9020095
47854,Tiger,-4.89985235
6219,Snake,-4.89952705
11787,Lamp,-4.89893505
25336,Shrew,-4.895195299999999
35948,Flatfish,-4.8934125
35956,Kangaroo,-4.8922273999999994
12080,Camel,-4.8820779000000005
45747,Pine Tree,-4.87805425
8812,Ray,-4.8713905
6533,Seal,-4.86715475
39331,Can,-4.86315035
43024,Rocket,-4.862252999999999
45677,Possum,-4.8596097
15128,Rocket,-4.855528
29120,Pear,-4.8481004500000004
9481,Rabbit,-4.8371041
21498,Castle,-4.83265225
12517,Bear,-4.82883455
32102,Cattle,-4.8269528
12547,Bowl,-4.80364435
46456,Bridge,-4.80308185
40148,Shrew,-4.7985762
42999,Cup,-4.783864149999999
6001,Lawn Mower,-4.776006799999999
41240,Worm,-4.7741907
6619,Leopard,-4.7676865
38258,Leopard,-4.7658781
317,Apple,-4.7604165
24762,Turtle,-4.7477528499999995
36982,Butterfly,-4.740856
17665,Telephone,-4.7374695
29846,Seal,-4.73730165
40104,Crab,-4.7321694999999995
31587,Porcupine,-4.7174952
43911,Leopard,-4.717275
28041,Possum,-4.707803
6331,Lion,-4.7065575
19887,Otter,-4.7041731
48696,Beetle,-4.6996215
319,Bed,-4.6966927
4245,Kangaroo,-4.69561815
12867,Shrew,-4.695017549999999
25858,Shrew,-4.68923525
49370,Dinosaur,-4.6881843
27079,Boy,-4.6846823
37760,Crocodile,-4.6843462
46518,Bear,-4.674551999999999
23759,Lizard,-4.6696761
18860,Boy,-4.6676655
38035,Raccoon,-4.6649773
10690,Dolphin,-4.664570599999999
33914,Can,-4.6629154999999995
44657,Porcupine,-4.657780499999999
7363,Rocket,-4.6504025
43989,Seal,-4.6494042
24856,Bear,-4.649133
30561,House,-4.64576475
27931,Bear,-4.642111549999999
18089,Lamp,-4.6357474000000005
27729,Willow Tree,-4.618907849999999
24359,Flatfish,-4.615349849999999
40423,Squirrel,-4.6136173
49296,Bus,-4.6084213
27930,Trout,-4.6029371999999995
18008,Leopard,-4.5998095
24038,Table,-4.5978955500000005
31637,Mouse,-4.5961978000000006
24388,Bridge,-4.595134
4083,Dolphin,-4.5950198
8453,Otter,-4.592556
8218,Caterpillar,-4.5916832
40134,Leopard,-4.5820704
36754,Shark,-4.57948585
35758,Cattle,-4.5720738
4975,House,-4.5673984999999995
20366,Cockroach,-4.5669786000000006
48362,Lobster,-4.5669515
14704,Dinosaur,-4.5652345
14260,Lizard,-4.5418038
47147,Bowl,-4.53632045
6804,Lobster,-4.53615685
5223,Hamster,-4.5343646500000006
26012,Sea,-4.5325018
39180,Porcupine,-4.52773615
26431,Tractor,-4.52139585
3806,Hamster,-4.51839675
44474,Couch,-4.5106767
2448,Forest,-4.503954650000001
32172,Raccoon,-4.50316845
45090,Couch,-4.499947799999999
26843,Leopard,-4.49283265
31467,Shark,-4.49174455
38199,Lawn Mower,-4.490710399999999
38639,Otter,-4.485209299999999
1774,Possum,-4.48497185
23544,Dinosaur,-4.4823941
18795,Crab,-4.47691715
5769,Crab,-4.4722591000000005
21820,Television,-4.46382515
38145,Rocket,-4.461335
19726,Television,-4.45339035
10178,Leopard,-4.45035915
46271,Table,-4.45000035
23525,Pear,-4.44942855
9474,Possum,-4.4472036
40292,Clock,-4.4470075
28020,Snake,-4.44338635
43191,Flatfish,-4.44027805
23103,House,-4.43615815
45694,Forest,-4.43605865
23633,Ray,-4.43581895
7432,Squirrel,-4.432951450000001
7925,Snail,-4.4307715000000005
32716,Trout,-4.430206350000001
34190,Lizard,-4.42673115
22533,Cup,-4.42462275
2699,Fox,-4.42087605
44430,Boy,-4.4195435
41014,Clock,-4.4164934
17061,Caterpillar,-4.413687299999999
39437,Kangaroo,-4.41175935
25091,Shark,-4.4108839
34463,Train,-4.40805335
4750,Baby,-4.4075343
48034,Road,-4.4066661499999995
21860,Bear,-4.403114350000001
21741,Lion,-4.402759700000001
16206,Possum,-4.398588200000001
5423,Possum,-4.39731875
24332,Kangaroo,-4.3971512
4425,Bottle,-4.3937919999999995
15816,Seal,-4.389436249999999
45691,Forest,-4.3894062499999995
35670,Worm,-4.38510035
22732,Beaver,-4.3796498
46107,Tulip,-4.3760330000000005
42553,Woman,-4.3724244
29762,Tiger,-4.370242299999999
39273,Forest,-4.3654278
44519,Cockroach,-4.3632097
16305,Plain,-4.3582544
2169,Shark,-4.356726
49856,Bee,-4.3543681
10728,Otter,-4.345465
21763,Shrew,-4.3454052
46229,Cattle,-4.345337
15790,Lobster,-4.341844350000001
6377,Flatfish,-4.33929835
18372,Girl,-4.33606065
47107,Chimpanzee,-4.335600149999999
44503,Can,-4.3329658
1984,Bus,-4.3273837
46144,Couch,-4.326817500000001
41470,Bear,-4.3249203000000005
5735,Squirrel,-4.308696250000001
12373,Sweet Pepper,-4.3036575
42067,Wolf,-4.2939905000000005
17765,Trout,-4.2925413
13430,Porcupine,-4.28360285
16312,Possum,-4.27944265
31295,Possum,-4.272884599999999
12455,Lamp,-4.2700755
21353,Rabbit,-4.269474649999999
22826,Seal,-4.2690425
34814,Baby,-4.2686174999999995
46468,Cattle,-4.26411535
4260,Snake,-4.26281595
48032,Trout,-4.2601753
1243,Forest,-4.2590569
20937,Seal,-4.2579475
9670,Caterpillar,-4.2485026999999995
17143,Mushroom,-4.23581205
18992,Couch,-4.23044085
31920,Forest,-4.2296197499999995
12405,Bottle,-4.228311550000001
37032,Wolf,-4.2276312
17351,Spider,-4.226785199999999
29404,Train,-4.22507025
1800,Turtle,-4.223905650000001
35305,Palm Tree,-4.21990685
30278,Cockroach,-4.2178738000000005
44255,Forest,-4.214958899999999
49292,Seal,-4.2149027
30578,Table,-4.2080413
28883,Rocket,-4.20612835
14067,Bicycle,-4.2055191999999995
27084,Flatfish,-4.20529115
35480,Dinosaur,-4.20514135
18910,Seal,-4.2024142
23034,Telephone,-4.20146055
40453,Shrew,-4.19928945
6707,Baby,-4.19895125
21123,Couch,-4.19721635
16740,Bowl,-4.1971635
32296,Tank,-4.1936091
47474,Kangaroo,-4.1802826500000005
18942,Skyscraper,-4.1730621
32882,Bottle,-4.17223
31949,Snail,-4.1702239500000005
26338,Mushroom,-4.1586492
36326,Trout,-4.1552776
13016,Worm,-4.1520654
7781,Tank,-4.1425434999999995
433,Bottle,-4.1417991999999995
11523,Caterpillar,-4.140746099999999
33202,Otter,-4.14056925
22979,Whale,-4.140063850000001
19689,Flatfish,-4.13871765
38363,Butterfly,-4.13843735
10907,Bridge,-4.129754999999999
45252,Shrew,-4.1235266
29673,Shrew,-4.118818699999999
3571,Lobster,-4.1168034
5841,Beaver,-4.1158449
21462,Pear,-4.11165845
25938,Ray,-4.110991
14772,Table,-4.10989045
10540,Castle,-4.1058405
33185,Caterpillar,-4.1029439
37137,Shark,-4.09704685
539,Snail,-4.0907262
36534,Table,-4.0907166
30687,Couch,-4.0893203
21645,Beaver,-4.08441695
24861,Leopard,-4.08239955
18028,Skunk,-4.080906649999999
34400,Snake,-4.0807433
38762,Pear,-4.07893255
40535,Whale,-4.0777903
4891,Snake,-4.0748086
30784,Beetle,-4.0718527
36607,Television,-4.06243625
5556,Forest,-4.057040450000001
5470,Caterpillar,-4.0516517
46423,Crab,-4.051609
16343,Dolphin,-4.0487562
31679,Cloud,-4.0463506
10009,Man,-4.044140499999999
12565,Streetcar,-4.04132355
3134,Flatfish,-4.041149600000001
14118,Otter,-4.03970565
7427,Flatfish,-4.037236399999999
37458,Rose,-4.03678725
1443,Lobster,-4.03152515
37830,Spider,-4.029730900000001
38022,Clock,-4.028484499999999
31300,Baby,-4.0272124
26156,Dinosaur,-4.02579125
36242,Table,-4.0224643
42864,Shrew,-4.0193539
11443,Clock,-4.01637505
42076,Flatfish,-4.0143927999999995
19825,Leopard,-4.01181
24939,Lobster,-4.0106254
41822,Lizard,-4.008399150000001
15747,Forest,-4.0057118
38281,Leopard,-4.00439775
23571,Camel,-3.9999805999999998
34836,Crab,-3.9989689999999998
44734,Bowl,-3.997818
41486,Spider,-3.9957155
43252,Crab,-3.993448
19274,Otter,-3.9923303
37505,Tractor,-3.9889805000000003
19384,Pine Tree,-3.98798225
13606,Caterpillar,-3.9878465
38941,Crocodile,-3.98700235
43594,Motorcycle,-3.98444105
45864,Cup,-3.9815894500000004
41188,Seal,-3.98046875
11674,Willow Tree,-3.9801371000000003
17549,Fox,-3.9784897499999996
17706,Forest,-3.9740293500000003
35818,Snake,-3.9737736000000004
18789,Camel,-3.97168375
8005,Tulip,-3.9706484
9606,Possum,-3.9621558000000006
4257,Turtle,-3.9621216
35321,Snail,-3.9609159000000003
10806,Aquarium Fish,-3.9592544
26319,Beaver,-3.9569842
39317,Possum,-3.9556744999999998
28727,Crocodile,-3.9486050500000003
43266,Squirrel,-3.9470428999999996
10601,Road,-3.9442312
25631,Tank,-3.9431602000000003
16904,Shrew,-3.9427428
38599,Plate,-3.93671515
12700,Plate,-3.9348139499999997
47490,Forest,-3.9329817500000006
29076,Mouse,-3.9310720999999997
13184,Shrew,-3.92937435
48,Tractor,-3.9221458
21830,Trout,-3.9202627
19280,Worm,-3.9185427499999994
18925,Lamp,-3.9169070000000006
19370,Tractor,-3.9132216499999997
5562,Bridge,-3.9127553500000003
19874,Dinosaur,-3.9118905
35896,Otter,-3.9114997
6051,Beaver,-3.9075675
36971,Bowl,-3.9049839000000004
28165,Lawn Mower,-3.9018665000000006
1150,Camel,-3.90171795
15731,Willow Tree,-3.8983982499999996
1314,Rabbit,-3.8932330000000004
23394,Telephone,-3.89317945
33627,Snake,-3.89110245
43618,Rabbit,-3.8907876000000003
36556,Bear,-3.8828655999999997
39816,Mouse,-3.88180885
9011,Seal,-3.87999425
22519,Can,-3.87818095
41451,Bowl,-3.8766614999999995
17505,Tiger,-3.8760093500000004
695,Lobster,-3.87202715
33065,Lamp,-3.870973200000001
46907,Bridge,-3.8671588999999997
749,Plate,-3.86694245
19573,Elephant,-3.8666282
45025,Bear,-3.86559705
6956,Tulip,-3.86388425
39093,Clock,-3.8637445
1808,Aquarium Fish,-3.861275
31946,Pear,-3.8597811500000003
21565,Spider,-3.8591492999999994
44294,Forest,-3.8582641
25331,Raccoon,-3.8500113500000004
9104,Clock,-3.84872125
30046,Cattle,-3.8462470999999994
48334,Lamp,-3.8422098
10156,Flatfish,-3.84204385
2446,Dinosaur,-3.8396488499999997
26562,Sunflower,-3.8392277000000004
30654,Caterpillar,-3.8374777
3211,Elephant,-3.837281
7828,Wardrobe,-3.8366077
6677,Mouse,-3.8343077
31552,Seal,-3.8340107
22553,Bridge,-3.83242775
40010,Lizard,-3.82871175
6426,Bowl,-3.8282911
284,Ray,-3.8280594000000003
17473,Worm,-3.8272917
42528,Mouse,-3.825222
1534,Trout,-3.82491275
35142,Sweet Pepper,-3.81764555
48497,Cattle,-3.8150572499999997
32759,Crab,-3.8096162
37216,Cockroach,-3.8071113499999996
16513,Trout,-3.80219755
35079,Beetle,-3.80113125
20310,Rocket,-3.7998071000000007
8834,Man,-3.7976761
15379,Flatfish,-3.7953070500000003
38880,Wolf,-3.7935635000000003
1579,Bowl,-3.7929754
12016,Willow Tree,-3.7919396499999998
35231,Telephone,-3.7913848000000003
42912,Pine Tree,-3.7910250499999996
9767,Spider,-3.7910090000000003
19011,Lion,-3.7904115999999997
3968,Possum,-3.78749595
39693,Snake,-3.7859131999999995
15687,Orchid,-3.7837746
15153,Woman,-3.7815213500000002
3365,Leopard,-3.78036935
5598,Maple Tree,-3.77652665
37247,Cockroach,-3.77561535
16755,Crab,-3.7749499
6691,Bottle,-3.7722472
21951,Beaver,-3.77010415
25279,Chimpanzee,-3.76843355
16116,Shrew,-3.7648105999999997
10767,Skyscraper,-3.76453615
42868,Lion,-3.7628168
43623,Snail,-3.76050135
748,Mouse,-3.7601017
3469,Rocket,-3.7599002500000003
12306,Clock,-3.75951275
8523,Shrew,-3.75782515
29144,Table,-3.7566605500000003
5376,Plate,-3.75549815
28684,Oak Tree,-3.7552056
7019,Tulip,-3.75487625
15366,Fox,-3.7545838999999996
30566,Bee,-3.75425085
48542,Snake,-3.7517189999999996
30655,Otter,-3.74697525
29432,Lizard,-3.74569535
10922,Train,-3.7433451499999997
41208,Seal,-3.74296715
36869,Mushroom,-3.742229
13190,Lobster,-3.74164475
24016,Dinosaur,-3.7406206
16961,Shark,-3.7363850000000003
31683,Telephone,-3.73331195
39401,Chair,-3.7309003
26140,Pear,-3.72991165
26697,Cup,-3.72832285
26800,Trout,-3.72419865
48144,Leopard,-3.7228383000000003
47601,Can,-3.7214756999999996
20569,Beetle,-3.71974025
26806,Possum,-3.7189179999999995
16965,Can,-3.7172883
1545,Mouse,-3.71084835
10893,Orchid,-3.7042941999999996
28009,Possum,-3.70401485
10967,Forest,-3.7023272
48470,Bottle,-3.6998045
34660,Apple,-3.6997431499999998
8498,Mountain,-3.69680035
27708,Lizard,-3.6964824500000004
33615,Spider,-3.6953187000000005
37066,Tiger,-3.6944307
42663,Snake,-3.6928623999999997
8216,Dolphin,-3.6909912
8787,Flatfish,-3.6885933999999994
48907,Can,-3.68806865
27281,Bear,-3.6880422999999998
25619,Seal,-3.6876998999999997
48672,Dinosaur,-3.6869733499999997
2352,Baby,-3.68634535
13511,Shrew,-3.6861958999999995
27115,Kangaroo,-3.6859915
49503,Spider,-3.6858385
40215,Lamp,-3.68417385
33633,Fox,-3.6836646
36791,Caterpillar,-3.6814308999999996
42575,Leopard,-3.68024255
7819,Beaver,-3.67940885
19872,Lamp,-3.6784989
15021,Wolf,-3.67669105
793,Dinosaur,-3.67413555
40505,Train,-3.6738342
14107,Caterpillar,-3.67334425
41561,Bridge,-3.6730579999999997
44957,Otter,-3.6724403999999997
37204,Cattle,-3.6722838999999996
4886,Couch,-3.6679668000000003
17652,Bowl,-3.6670997
24309,Couch,-3.66606495
2947,Otter,-3.6654927000000006
595,Flatfish,-3.66271565
46334,Crocodile,-3.6580893000000003
6472,Maple Tree,-3.65482115
9010,Rabbit,-3.6526760000000005
9257,Worm,-3.6491166
48482,Couch,-3.64774725
27337,Bear,-3.64734375
36106,Seal,-3.6442769
2842,Snake,-3.64382435
20297,Shark,-3.64215055
33468,Porcupine,-3.6416690000000003
7139,Tiger,-3.6399450499999997
42919,Bee,-3.6397417499999998
46865,Shrew,-3.6361103999999997
34767,Cockroach,-3.635083
771,Spider,-3.6346291
3830,Elephant,-3.63370465
12871,Cup,-3.62919135
19643,Snake,-3.6241632
24881,Crab,-3.62405685
18607,Can,-3.6224331999999997
28582,Possum,-3.6170237
12543,Sunflower,-3.6141413500000006
36991,Maple Tree,-3.61104455
7462,Seal,-3.60958135
40784,Squirrel,-3.6091228499999994
28398,Baby,-3.6078675000000002
7697,Castle,-3.6067456
32958,Bottle,-3.60607795
24674,Camel,-3.6058553999999994
23638,Otter,-3.6047523000000004
38621,Bottle,-3.603521
19470,Bowl,-3.60348095
28242,Spider,-3.6006679
32723,Worm,-3.60052615
14796,Man,-3.5988569499999996
25098,Raccoon,-3.5975383499999998
24498,Ray,-3.5952364
39952,Crab,-3.5946939
19314,Seal,-3.5935664999999997
13439,Trout,-3.59285765
47783,Lion,-3.5923998499999996
31948,Mushroom,-3.5922503999999997
42341,Couch,-3.5895659999999996
28089,Bridge,-3.5884285
47506,Cup,-3.5863488
24614,Bowl,-3.5850581999999998
41135,Tank,-3.5842403999999997
3849,Clock,-3.5840985
46960,Lawn Mower,-3.58356635
16750,Plate,-3.5835058999999996
35616,Clock,-3.5809465499999997
32575,Bear,-3.5779744
27509,Willow Tree,-3.5761063
905,Snake,-3.5736705499999997
10696,Caterpillar,-3.572076
24803,Lamp,-3.571738
7633,Bee,-3.5713452000000006
31071,Snake,-3.5712744
17476,Ray,-3.5672682500000006
32060,Bridge,-3.5670644
12089,Tractor,-3.5667568000000003
36897,Clock,-3.5659853
35635,Flatfish,-3.5645270499999997
49095,Spider,-3.5640295999999996
39509,Tulip,-3.5601331000000003
20337,Seal,-3.556326
28551,Worm,-3.55565575
36795,Hamster,-3.5533856
36127,Flatfish,-3.551993
35525,Caterpillar,-3.5500591000000004
19307,Lizard,-3.5491769
31225,Raccoon,-3.5461859999999996
14125,Train,-3.5448656000000005
3730,Porcupine,-3.5434443
19978,Plain,-3.5431917
14545,Flatfish,-3.5411683500000004
31972,Snake,-3.54086495
3665,Couch,-3.5379635
28921,Turtle,-3.5361079
21899,Seal,-3.53551675
42657,Otter,-3.5347744
39767,Television,-3.53142825
27765,Bottle,-3.5262444
2477,Man,-3.5214162500000006
6268,Couch,-3.5210483999999997
24074,Baby,-3.52071765
40875,Ray,-3.51891435
43978,Hamster,-3.51872905
12051,Shark,-3.51867935
37558,Shrew,-3.5176814
13402,Spider,-3.51713975
13163,Otter,-3.5151711500000005
16073,Palm Tree,-3.5146475000000006
1289,Worm,-3.5126775000000006
27781,Bridge,-3.5112648999999996
11829,Otter,-3.5086051000000005
45840,Dinosaur,-3.5072893
29140,Flatfish,-3.50637125
31318,Fox,-3.5033585
18422,Forest,-3.5025386
28197,Lizard,-3.5004793000000003
19323,Bear,-3.4998898499999997
26046,Tiger,-3.4993200500000006
7556,Flatfish,-3.4989562
27018,Beetle,-3.4987364999999997
13477,Caterpillar,-3.4986548500000003
22203,Sweet Pepper,-3.4985909499999996
31652,Castle,-3.49787
48902,Kangaroo,-3.4960568
1264,Snake,-3.49273635
20766,Fox,-3.4916263
28478,Otter,-3.4913978000000006
13681,Leopard,-3.4891309
48253,Telephone,-3.4883866
29225,Beaver,-3.48811405
31890,Skunk,-3.4873576
47773,Flatfish,-3.4863038500000005
17616,Television,-3.4861302500000004
9330,Shark,-3.48549565
36962,Lion,-3.48527905
17495,Sweet Pepper,-3.4823855999999997
41895,Sunflower,-3.4794174
44965,Possum,-3.47845915
35446,Lamp,-3.4783945
34853,Mushroom,-3.4775456
15999,Plain,-3.4759546500000003
24578,Baby,-3.4757577499999996
15866,Telephone,-3.4751924
5003,Seal,-3.4745372499999996
32451,Shrew,-3.47344445
48102,Shark,-3.47337065
1376,Possum,-3.47248615
8829,Dinosaur,-3.4695693500000004
17287,Bus,-3.46563865
35209,Skyscraper,-3.4651845500000005
22052,Snake,-3.4630420500000003
29883,Pickup Truck,-3.4602438499999995
29263,Boy,-3.4567674
38876,Beetle,-3.4556668
14887,Rabbit,-3.45371485
32358,Woman,-3.4534623500000006
535,Table,-3.4507720500000003
9154,Mouse,-3.4504246499999995
83,Kangaroo,-3.44864795
9834,Flatfish,-3.4468423
43277,Squirrel,-3.44634295
20280,Bowl,-3.44433915
11224,Bridge,-3.4437821499999997
37292,Bridge,-3.4421842
28842,Shrew,-3.4415373000000002
12869,Lion,-3.4380066499999997
46849,Shark,-3.4342184000000002
6440,Squirrel,-3.4322345
3951,Beaver,-3.4280424
23774,Baby,-3.4276374499999998
45545,Beaver,-3.42673045
27813,Kangaroo,-3.4263046
49111,Fox,-3.4256029000000003
27989,Caterpillar,-3.4252675999999997
2745,Porcupine,-3.4235655
30020,Rabbit,-3.4198793
35917,Caterpillar,-3.4187109500000004
42153,Caterpillar,-3.41866335
40628,Train,-3.4184865
49079,Lion,-3.4155014999999995
37992,Rabbit,-3.41401495
40743,Tiger,-3.4135873499999994
36414,Otter,-3.4122765
33658,Man,-3.4101726
30397,Man,-3.40836095
6759,Snake,-3.4074313000000003
2691,Bus,-3.4071906
42035,Turtle,-3.4046835499999997
38696,Possum,-3.4038782
45756,Spider,-3.4033923
43943,Beaver,-3.40226805
40966,Clock,-3.4005468999999997
46923,Snake,-3.39873005
26394,Beetle,-3.39853275
35067,Wolf,-3.3962873
5125,Lamp,-3.3959992000000003
14945,Trout,-3.395149
35645,Lizard,-3.395072
16508,Worm,-3.39452445
37243,Cloud,-3.3938365
7291,Can,-3.39359465
4842,Can,-3.39330045
34691,Rose,-3.39253555
7042,Mushroom,-3.39235855
32234,Lizard,-3.3914391000000004
27598,Maple Tree,-3.39099545
40234,Seal,-3.3896091000000004
14135,Pear,-3.3891065000000005
26811,Spider,-3.38856685
26263,Boy,-3.3873937000000005
656,Shark,-3.3868752
12400,Turtle,-3.3845581000000005
10839,House,-3.3840100499999997
47900,Tulip,-3.38161375
3687,Turtle,-3.3815656
28592,Dinosaur,-3.38124955
7937,Leopard,-3.3788583500000002
48894,Lizard,-3.3777487
35806,Dinosaur,-3.3762616
18713,Ray,-3.37426725
38131,Dinosaur,-3.37359835
7287,Crab,-3.3732774500000002
10127,Caterpillar,-3.3732631
34529,Lamp,-3.37248615
47947,Tractor,-3.37135705
86,Raccoon,-3.369198
30738,Caterpillar,-3.36642135
31335,Lamp,-3.365811
35570,Table,-3.36517215
23429,Flatfish,-3.36459885
39017,Willow Tree,-3.36334675
16139,Turtle,-3.363137
39367,Kangaroo,-3.36131865
9290,Plain,-3.3607972999999998
32791,Beetle,-3.3595162
46697,Streetcar,-3.35621685
3333,Spider,-3.35611295
20726,Bottle,-3.3559172999999998
46163,Otter,-3.3554111
38203,Boy,-3.3526488
36267,Bee,-3.3506679000000004
39665,Table,-3.34998475
34424,Beetle,-3.3455529
1419,Camel,-3.3405977499999997
604,Lamp,-3.33948645
3710,Crocodile,-3.33939505
29742,Table,-3.33912925
4935,Snail,-3.33864025
49268,Seal,-3.3374892000000003
19468,Pear,-3.33575895
33779,Hamster,-3.3342604500000004
25659,Tiger,-3.334138
41289,Seal,-3.3326724
22042,Elephant,-3.32955575
49110,Bed,-3.3249929499999995
753,Bridge,-3.32300795
45475,Bear,-3.32203695
19327,Porcupine,-3.3201947
48589,Bee,-3.31969225
708,Elephant,-3.3193767000000003
24707,Leopard,-3.3190017000000003
19162,Rocket,-3.3179908000000005
44738,Man,-3.3143078
6474,Lobster,-3.3140686500000003
8377,Lizard,-3.31352715
47189,House,-3.3106185000000004
15040,Forest,-3.3076806000000003
46978,Beaver,-3.3068207999999997
49436,Woman,-3.30558815
49000,Beaver,-3.30470715
31486,Skunk,-3.30283335
30949,Ray,-3.3016566999999997
28800,Shrew,-3.3013662
9332,Cup,-3.3004243000000004
2912,Dinosaur,-3.3002442499999995
25743,Bridge,-3.3002311000000004
4048,Flatfish,-3.2990745
48025,Sunflower,-3.2966587499999997
13713,Man,-3.2951865000000002
36708,Ray,-3.2946138
13771,Skunk,-3.2942215500000005
41747,Beaver,-3.2938585
14780,Leopard,-3.29382325
46616,Crab,-3.2928680999999997
46193,Turtle,-3.29264785
2791,Squirrel,-3.2919634500000003
24374,Worm,-3.2917285000000005
42954,Bear,-3.29089675
49203,Butterfly,-3.2883895499999998
12376,Cattle,-3.28492985
4761,Seal,-3.28374055
24186,Otter,-3.2826214
12511,Woman,-3.2819840000000005
41035,Oak Tree,-3.2819775499999997
16985,Porcupine,-3.2809402999999997
31496,Shrew,-3.2790937000000002
44225,Lizard,-3.2789233
19503,Bowl,-3.2779403499999997
